CIK,Company,State/Country
0000711325,"HALCYON CABOT PARTNERS, LTD.formerly: B &amp; B SECURITIES, INC. (filings through 2009-09-28)",NY
0000714909,PARKER &amp; PARSLEY 82 I LTDSIC:1381- DRILLING OIL &amp; GAS WELLS,TX
0000715095,BOC GROUP PLCSIC:2810- INDUSTRIAL INORGANIC CHEMICALSformerly: THE BOC GROUP PLC (filings through 1999-02-12),X0
0000717374,PARKER &amp; PARSLEY 82 II LTDSIC:1381- DRILLING OIL &amp; GAS WELLS,TX
0000718027,VIRTUS CA TAX-EXEMPT BOND FUNDformerly: PHOENIX CA TAX-EXEMPT BOND FUND (filings through 2008-09-26)PHOENIX CALIFORNIA TAX EXEMPT BONDS INC (filings through 1999-08-24)PHOENIX GOODWIN CALIFORNIA TAX EXEMPT BOND FUND (filings through 2005-09-28)PHOENIX GOODWIN CALIFORNIA TAX EXEMPT BONDS INC (filings through 2001-06-26),MA
0000718446,MARATHON BANCORPSIC:6022- STATE COMMERCIAL BANKS,CA
0000718731,BENEFIT SECURITIES INC                                  /BD,AK
0000719729,CALYPSO WIRELESS INCSIC:4813- TELEPHONE COMMUNICATIONS (NO RADIO TELEPHONE)formerly: KLEER VU INDUSTRIES INC/DE/ (filings through 2002-11-22),TX
0000721670,WESTERN BANCORPSIC:6022- STATE COMMERCIAL BANKSformerly: MONARCH BANCORP (filings through 1997-05-15),CA
0000723258,GREAT AMERICAN LIFE INSURANCE CO,OH
0000723620,NEUBERGER BERMAN INCOME FUNDSformerly: LEHMAN BROTHERS INCOME FUNDS (filings through 2009-06-01)NEUBERGER &amp; BERMAN INCOME FUNDS (filings through 1998-03-02),NY
0000724332,PHOENIX ASSOCIATESSIC:6512- OPERATORS OF NONRESIDENTIAL BUILDINGS,FL
0000724683,PIPER JAFFRAY &amp; CO.formerly: U.S. BANCORP PIPER JAFFRAY INC. (filings through 2003-03-03),MN
0000728774,NEUBERGER BERMAN LLCformerly: NEUBERGER &amp; BERMAN LLC /DE/ (filings through 2000-02-01),NY
0000729526,LAND MARK INC                                           /BD,ME
0000730674,PIMCO ADVISORS FUNDSformerly: THOMSON FUND GROUP (filings through 1994-11-22),CA
0000733553,NEUBERGER BERMAN LLC /ADVformerly: NEUBERGER &amp; BERMAN LLC (filings through 1998-02-13)NEUBERGER &amp; BERMAN LLC /ADV (filings through 1998-03-27)NEUBERGER BERMAN LLC (filings through 2000-01-31),NY
0000733572,NORTHERN CAPITAL MANAGEMENT LLC     /ADVformerly: NORTHERN CAPITAL MANAGEMENT INC ADV /ADV (filings through 1998-03-23),WI
0000735190,MONARCH CEMENT CO /TAformerly: MONARCH CEMENT CO                                       /TA (filings through 2006-03-27),KS
0000735961,WESTPORT BANCORP INCSIC:6022- STATE COMMERCIAL BANKS,NJ
0000736913,NEUBERGER BERMAN ADVISERS MANAGEMENT TRUSTformerly: NEUBERGER &amp; BERMAN ADVISERS MANAGEMENT TRUST (filings through 2000-02-24),NY
0000737455,"CruiseCam International, Inc.SIC:6770- BLANK CHECKSformerly: EUTRO GROUP HOLDING INC (filings through 2000-05-16)STRATEGIC ALLIANCE GROUP INC (filings through 2004-08-11)",FL
0000740883,MARATHON CAPITAL CORP                                   /BD,RI
0000741356,INDEPENDENCE BANCORP INC /NJ/SIC:6022- STATE COMMERCIAL BANKS,NJ
0000743250,MAST KEYSTONE INCSIC:3841- SURGICAL &amp; MEDICAL INSTRUMENTS &amp; APPARATUS,NV
0000743456,PARKER &amp; PARSLEY 83-A LTDSIC:1381- DRILLING OIL &amp; GAS WELLS,TX
0000743457,PARKER &amp; PARSLEY 83-B LTDSIC:1381- DRILLING OIL &amp; GAS WELLS,TX
0000743871,SLS INDUSTRIES INCSIC:3821- LABORATORY APPARATUS &amp; FURNITURE,MD
0000745456,MONROE BANCORPSIC:6022- STATE COMMERCIAL BANKS,IN
0000747695,MONROE FINANCIAL CORP,IN
0000748900,WESTPORT ASSET MANAGEMENT INC                          /ADV,CT
0000749810,THE BUTTLES CORPORATIONformerly: BUTTLES CORP                                            /BD (filings through 2003-03-03),NY
0000757545,PARKER &amp; PARSLEY 84-A LTDSIC:1381- DRILLING OIL &amp; GAS WELLS,TX
0000760079,BOSTON BANCORPSIC:6022- STATE COMMERCIAL BANKS,MA
0000763709,"PHASE II FINANCIAL, LTD.formerly: PHASE II FINANCIAL LTD                                  /BD (filings through 2002-03-05)",NY
0000765936,"GWFS EQUITIES, INC.formerly: BENEFITSCORP EQUITIES INC                               /BD (filings through 2002-02-25)BENEFITSCORP EQUITIES, INC. (filings through 2003-02-25)",CO
0000767112,UNIVERSAL ACQUISITIONS CORPSIC:6770- BLANK CHECKS,CO
0000768374,HAWTHORNE GOLD CORPSIC:1040- GOLD &amp; SILVER ORESformerly: CUSAC GOLD MINES LTD (filings through 2008-04-21)HAWTHORNE GOLD CORP. (filings through 2009-03-11),A1
0000772023,"THE CARNEY GROUP, INCORPORATEDformerly: CARNEY GROUP INC                                        /BD (filings through 2003-02-27)",FL
0000772370,NEW COLOMBIA RESOURCES INCSIC:1220- BITUMINOUS COAL &amp; LIGNITE MININGformerly: FORMULA FOOTWEAR INC (filings through 2004-07-14)VSUS TECHNOLOGIES INC (filings through 2013-01-02),FL
0000773658,"GOLDMAN CAPITAL MANAGEMENT, INC.",NY
0000774327,STRATEGIC CAPITAL CORP                                  /BD,NJ
0000782842,"GLEACHER &amp; COMPANY, INC.SIC:6211- SECURITY BROKERS, DEALERS &amp; FLOTATION COMPANIESformerly: BROADPOINT GLEACHER SECURITIES GROUP, INC. (filings through 2010-05-19)BROADPOINT SECURITIES GROUP, INC. (filings through 2009-05-29)FIRST ALBANY COMPANIES INC (filings through 2007-12-14)",NY
0000784866,"THE CONCORD EQUITY GROUP, LLCformerly: CONCORD EQUITY GROUP LLC                                /BD (filings through 2002-03-01)",NJ
0000784880,VIRTUS INVESTMENT TRUST 06formerly: PASADENA INVESTMENT TRUST (filings through 1997-02-28)PHOENIX ENGEMANN FUNDS (filings through 2006-05-22)PHOENIX INVESTMENT TRUST 06 (filings through 2008-08-28),MA
0000784940,WESTERN &amp; SOUTHERN LIFE INSURANCE CO,OH
0000784958,"TREND VISION TECHNOLOGIES INCSIC:3690- MISCELLANEOUS ELECTRICAL MACHINERY, EQUIPMENT &amp; SUPPLIES",AZ
0000785544,"AZUR HOLDINGS, INC.SIC:6770- BLANK CHECKSformerly: HARVEST CAPITAL CORP (filings through 2005-02-02)NEW HARVEST CAPITAL CORP (filings through 2006-02-14)",FL
0000786412,GREAT AMERICAN RESERVE VARIABLE ANNUITY ACCOUNT D,IN
0000786418,JEFFERSON NATIONAL LIFE ANNUITY ACCOUNT Cformerly: CONSECO VARIABLE ANNUITY ACCOUNT C (filings through 2003-05-01)GREAT AMERICAN RESERVE VARIABLE ANNUITY ACCOUNT C (filings through 1999-05-07)JEFFERSON NATINAL LIFE ANNUITY ACCOUNT C (filings through 2003-07-02),KY
0000789652,"THE BOND HOUSE, INC.formerly: FIRST GUARANTOR SECURITIES INC. (filings through 2007-03-01)FIRST PARKVILLE SECURITIES, INC. (filings through 2008-04-10)",MO
0000789789,PARKER &amp; PARSLEY 86-A LTDSIC:1311- CRUDE PETROLEUM &amp; NATURAL GAS,TX
0000789790,PARKER &amp; PARSLEY 86-B LTDSIC:1311- CRUDE PETROLEUM &amp; NATURAL GAS,TX
0000789791,PARKER &amp; PARSLEY 86-C LTDSIC:1311- CRUDE PETROLEUM &amp; NATURAL GAS,TX
0000790228,SPECIALIZED HEALTH PRODUCTS INTERNATIONAL INCSIC:3841- SURGICAL &amp; MEDICAL INSTRUMENTS &amp; APPARATUS,UT
0000790360,SAMUELS JEWELERS INCSIC:5944- RETAIL-JEWELRY STORESformerly: BARRYS JEWELERS INC /CA/ (filings through 1998-09-25),TX
0000791230,PARKER &amp; PARSLEY 85-A LTDSIC:1381- DRILLING OIL &amp; GAS WELLS,TX
0000791231,PARKER &amp; PARSLEY 85-B LTDSIC:1381- DRILLING OIL &amp; GAS WELLS,TX
0000791990,PILLAR FINANCIAL ADVISORS INC                           /ADV,MA
0000792326,BLACKSTONE ADVISORY PARTNERS L.P.formerly: BLACKSTONE ADVISORY SERVICES L.P. (filings through 2009-03-02)BLACKSTONE GROUP LP                                    //BD (filings through 2002-03-01)THE BLACKSTONE GROUP L.P. (filings through 2006-03-01),NY
0000792341,UNICOMP INCSIC:7373- SERVICES-COMPUTER INTEGRATED SYSTEMS DESIGN,GA
0000793373,MARSHALL &amp; ILSLEY TRUST CO,WI
0000794107,CALA CORPSIC:5812- RETAIL-EATING PLACESformerly: MAGNOLIA FOODS INC (filings through 1999-10-21),TX
0000794236,"THE DELAWARE BAY COMPANY, INC.formerly: DELAWARE BAY CO INC                                     /BD (filings through 2002-03-01)",NY
0000795371,PAULSON CAPITAL CORP                                    /TA,OR
0000796298,VIRTUS INVESTMENT SERIES FUNDformerly: PHOENIX INCOME &amp; GROWTH FUND (filings through 1999-07-26)PHOENIX INVESTMENT SERIES FUND (filings through 2008-06-23)PHOENIX OAKHURST INCOME &amp; GROWTH FUND (filings through 2004-10-15),MA
0000796299,VIRTUS STRATEGIC EQUITY SERIES FUNDformerly: PHOENIX EQUITY OPPORTUNITIES FUND (filings through 1996-06-14)PHOENIX STRATEGIC EQUITY SERIES FUND (filings through 2008-08-06),MA
0000799485,CHESAPEAKE BIOLOGICAL LABORATORIES INCSIC:2834- PHARMACEUTICAL PREPARATIONS,MD
0000799514,INDUSTRIAL IMAGING CORPSIC:7373- SERVICES-COMPUTER INTEGRATED SYSTEMS DESIGNformerly: ORBIS INC (filings through 1996-08-30),MA
0000800443,"TREND LABORATORIES INCSIC:2844- PERFUMES, COSMETICS &amp; OTHER TOILET PREPARATIONS",GA
0000801187,WESTERN AREAS LTD                                       /FISIC:8880- UNKNOWN SIC - 8880,
0000802517,PREMIUM RESTAURANT COSIC:5812- RETAIL-EATING PLACESformerly: CIATTIS INC /DE/ (filings through 1998-02-06),MN
0000805183,LAND PARTNERS II LTD PARTNERSHIP,MN
0000805268,BOSTON ACOUSTICS INCSIC:3651- HOUSEHOLD AUDIO &amp; VIDEO EQUIPMENT,MA
0000806177,PIPER FUNDS INC,MN
0000808468,ALLIANZ LIFE VARIABLE ACCOUNT A,MN
0000808996,MARK ASSET MANAGEMENT CORP                              /ADV,NY
0000809016,PARKER &amp; PARSLEY PRODUCING PROPERTIES 87-A LTDSIC:1311- CRUDE PETROLEUM &amp; NATURAL GAS,TX
0000809017,PARKER &amp; PARSLEY PRODUCING PROPERTIES 87-B LTDSIC:1311- CRUDE PETROLEUM &amp; NATURAL GAS,TX
0000809055,THE CHAPMAN CO,MD
0000810999,PARKER &amp; PARSLEY 87-A LTDSIC:1381- DRILLING OIL &amp; GAS WELLS,TX
0000811000,PARKER &amp; PARSLEY 87-B LTDSIC:1381- DRILLING OIL &amp; GAS WELLS,TX
0000811340,SANDLER HARVEY,FL
0000811454,WESTPORT ASSET MANAGEMENT INC,CT
0000813400,WESTPORT RESOURCES MANAGEMENT INC                       /ADV,CT
0000814149,BENEFIT CAPITAL MANAGEMENT CORP,CT
0000814562,"PIMCO ADVISORS HOLDINGS LPSIC:6799- INVESTORS, NECformerly: OPPENHEIMER CAPITAL L P /DE/ (filings through 1997-12-10)",CA
0000815353,EMERALD DAIRY INCSIC:2020- DAIRY PRODUCTSformerly: Amnutria Dairy Inc. (filings through 2008-01-30)MICRO TECH IDENTIFICATION SYSTEMS INC (filings through 2007-10-10),VA
0000817986,"GEM ADVISORS, INC.formerly: GEM ADVISORS INC (filings through 2003-05-21)",NY
0000817998,BLACKROCK APEX MUNICIPAL FUND INCformerly: APEX MUNICIPAL FUND INC (filings through 2006-10-10),DE
0000820080,"PHOENIX BANCORP INCSIC:6035- SAVINGS INSTITUTION, FEDERALLY CHARTERED",PA
0000820123,MARSHALL &amp; SULLIVAN INC /WA/,WA
0000820392,MARK CONTROLS CORP /DE/SIC:3490- MISCELLANEOUS FABRICATED METAL PRODUCTS,IL
0000820819,COMMONWEALTH ASSOCIATESformerly: COMMONWEALTH ASSOCIATES /BD (filings through 2000-03-24),NY
0000821002,G III APPAREL GROUP LTD /DE/SIC:2300- APPAREL &amp; OTHER FINISHED PRODS OF FABRICS &amp; SIMILAR MATERIAL,NY
0000821407,WOLVERINE TUBE INCSIC:3350- ROLLING DRAWING &amp; EXTRUDING OF NONFERROUS METALS,AL
0000821418,INDEPENDENCE FINANCIAL GROUP INC,
0000822079,ALDEN JOHN FINANCIAL CORPSIC:6311- LIFE INSURANCE,FL
0000822338,NORTHERN CONTINENTAL RESOURCES INC                      /FI,
0000822426,Allianz Asset Management of America L.P.SIC:6282- INVESTMENT ADVICEformerly: ALLIANZ DRESDNER ASSET MANAGEMENT OF AMERICA L P (filings through 2004-09-17)ALLIANZ GLOBAL INVESTORS OF AMERICA L P (filings through 2011-11-14)PIMCO ADVISORS L P / (filings through 2002-01-22),CA
0000822998,ETOTALSOURCE INCSIC:7372- SERVICES-PREPACKAGED SOFTWAREformerly: PREMIUM ENTERPRISES INC (filings through 2003-07-24),CO
0000824416,QUEST PATENT RESEARCH CORPSIC:5190- WHOLESALE-MISCELLANEOUS NONDURABLE GOODSformerly: PHASE OUT OF AMERICA INC (filings through 1997-09-18)QUEST PRODUCTS CORP (filings through 2003-10-31),NY
0000825001,EURO ATLANTIC SECURITIES INC                            /BD,FL
0000826020,Voya PRIME RATE TRUSTformerly: ING PRIME RATE TRUST (filings through 2014-02-10)PILGRIM AMERICA PRIME RATE TRUST (filings through 1999-03-19)PILGRIM PRIME RATE TRUST (filings through 2002-02-01),AZ
0000826141,STRATEGIC ASSOCIATES LP,MD
0000826151,G-BAR LIMITED PARTNERSHIPformerly: G BAR LTD PARTNERSHIP                                   /BD (filings through 2003-03-03),IL
0000826737,VIRTUS MULTI PORTFOLIO FUNDformerly: PHOENIX MULTI PORTFOLIO FUND (filings through 2008-09-26),MA
0000827953,"PGP FINANCIAL, INC.formerly: STRATEGIC BROKERAGE CORP                                /BD (filings through 2002-02-01)",NY
0000828186,PARKER &amp; PARSLEY 88 A L PSIC:1311- CRUDE PETROLEUM &amp; NATURAL GAS,TX
0000828191,PARKER &amp; PARSLEY 88 B L PSIC:1311- CRUDE PETROLEUM &amp; NATURAL GAS,TX
0000830530,"J.A. GLYNN INVESTMENTS, LLC.formerly: GLYNN J A &amp; CO                                         /BD (filings through 2002-06-26)J.A. GLYNN &amp; CO. (filings through 2012-06-26)",MO
0000830656,PRESSURE BIOSCIENCES INCSIC:3826- LABORATORY ANALYTICAL INSTRUMENTSformerly: BOSTON BIOMEDICA INC (filings through 2004-09-02),MA
0000830664,"HUTECH21 CO. LTD.SIC:8742- SERVICES-MANAGEMENT CONSULTING SERVICESformerly: China International Tourism Holdings, Inc. (filings through 2008-04-14)China International Tourism Holdings, Ltd. (filings through 2009-08-13)CHINA LOGISTICS INC (filings through 2011-03-30)DARK DYNAMITE, INC (filings through 2007-11-16)NCI HOLDINGS INC (filings through 2004-06-07)VECTOR AEROMOTIVE CORP (filings through 1999-01-07)VECTOR HOLDINGS CORP (filings through 2003-06-25)",M5
0000831968,"PROVIDENCE &amp; WORCESTER RAILROAD CO/RI/SIC:4011- RAILROADS, LINE-HAUL OPERATING",MA
0000831972,STARWOOD FINANCIAL TRUSTSIC:6798- REAL ESTATE INVESTMENT TRUSTSformerly: ANGELES PARTICIPATING MORTGAGE TRUST (filings through 1998-04-01),NY
